报告日期,指数值,PMI分项
2025年09月份,50.0,非制造业-指数
2025年08月份,50.3,非制造业-指数
2025年07月份,50.1,非制造业-指数
2025年06月份,50.5,非制造业-指数
2025年05月份,50.3,非制造业-指数
2025年04月份,50.4,非制造业-指数
2025年03月份,50.8,非制造业-指数
2025年02月份,50.4,非制造业-指数
2025年01月份,50.2,非制造业-指数
2024年12月份,52.2,非制造业-指数
2024年11月份,50.0,非制造业-指数
2024年10月份,50.2,非制造业-指数
2024年09月份,50.0,非制造业-指数
2024年08月份,50.3,非制造业-指数
2024年07月份,50.2,非制造业-指数
2024年06月份,50.5,非制造业-指数
2024年05月份,51.1,非制造业-指数
2024年04月份,51.2,非制造业-指数
2024年03月份,53.0,非制造业-指数
2024年02月份,51.4,非制造业-指数
2024年01月份,50.7,非制造业-指数
2023年12月份,50.4,非制造业-指数
2023年11月份,50.2,非制造业-指数
2023年10月份,50.6,非制造业-指数
2023年09月份,51.7,非制造业-指数
2023年08月份,51.0,非制造业-指数
2023年07月份,51.5,非制造业-指数
2023年06月份,53.2,非制造业-指数
2023年05月份,54.5,非制造业-指数
2023年04月份,56.4,非制造业-指数
2023年03月份,58.2,非制造业-指数
2023年02月份,56.3,非制造业-指数
2023年01月份,54.4,非制造业-指数
2022年12月份,41.6,非制造业-指数
2022年11月份,46.7,非制造业-指数
2022年10月份,48.7,非制造业-指数
2022年09月份,50.6,非制造业-指数
2022年08月份,52.6,非制造业-指数
2022年07月份,53.8,非制造业-指数
2022年06月份,54.7,非制造业-指数
2022年05月份,47.8,非制造业-指数
2022年04月份,41.9,非制造业-指数
2022年03月份,48.4,非制造业-指数
2022年02月份,51.6,非制造业-指数
2022年01月份,51.1,非制造业-指数
2021年12月份,52.7,非制造业-指数
2021年11月份,52.3,非制造业-指数
2021年10月份,52.4,非制造业-指数
2021年09月份,53.2,非制造业-指数
2021年08月份,47.5,非制造业-指数
2021年07月份,53.3,非制造业-指数
2021年06月份,53.5,非制造业-指数
2021年05月份,55.2,非制造业-指数
2021年04月份,54.9,非制造业-指数
2021年03月份,56.3,非制造业-指数
2021年02月份,51.4,非制造业-指数
2021年01月份,52.4,非制造业-指数
2020年12月份,55.7,非制造业-指数
2020年11月份,56.4,非制造业-指数
2020年10月份,56.2,非制造业-指数
2020年09月份,55.9,非制造业-指数
2020年08月份,55.2,非制造业-指数
2020年07月份,54.2,非制造业-指数
2020年06月份,54.4,非制造业-指数
2020年05月份,53.6,非制造业-指数
2020年04月份,53.2,非制造业-指数
2020年03月份,52.3,非制造业-指数
2020年02月份,29.6,非制造业-指数
2020年01月份,54.1,非制造业-指数
2019年12月份,53.5,非制造业-指数
2019年11月份,54.4,非制造业-指数
2019年10月份,52.8,非制造业-指数
2019年09月份,53.7,非制造业-指数
2019年08月份,53.8,非制造业-指数
2019年07月份,53.7,非制造业-指数
2019年06月份,54.2,非制造业-指数
2019年05月份,54.3,非制造业-指数
2019年04月份,54.3,非制造业-指数
2019年03月份,54.8,非制造业-指数
2019年02月份,54.3,非制造业-指数
2019年01月份,54.7,非制造业-指数
2018年12月份,53.8,非制造业-指数
2018年11月份,53.4,非制造业-指数
2018年10月份,53.9,非制造业-指数
2018年09月份,54.9,非制造业-指数
2018年08月份,54.2,非制造业-指数
2018年07月份,54.0,非制造业-指数
